Date,Lat,Lng,City,Country,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
6/13/2018,-6.22,-57.76,Jacareacanga,BR,0,62,89.6,6.93
6/13/2018,-46.28,169.85,Kaitangata,NZ,100,94,42.61,5.64
6/13/2018,-34.75,149.72,Goulburn,AU,20,91,44.32,10.11
6/13/2018,30.78,78.62,Lata,IN,76,89,59.89,0.94
6/13/2018,70.62,147.9,Chokurdakh,RU,0,88,32.17,2.95
6/13/2018,56.4,61.89,Martyush,RU,92,94,55.03,9.33
6/13/2018,-42.88,147.33,Hobart,AU,20,87,44.6,8.05
6/13/2018,-31.97,141.45,Broken Hill,AU,0,88,44.5,7.31
6/13/2018,62.63,17.94,Harnosand,SE,0,44,60.8,13.87
6/13/2018,-46.13,167.69,Tuatapere,NZ,0,100,38.92,3.4
6/13/2018,-0.74,-90.35,Puerto Ayora,EC,90,69,77,13.87
6/13/2018,50.23,-63.6,Havre-Saint-Pierre,CA,75,58,53.6,19.46
6/13/2018,-53.16,-70.91,Punta Arenas,CL,0,100,35.6,9.17
6/13/2018,65.61,-37.64,Tasiilaq,GL,75,60,39.2,2.24
6/13/2018,49.78,-74.86,Chapais,CA,40,38,59,10.29
6/13/2018,-21.21,-159.78,Avarua,CK,40,56,73.4,10.29
6/13/2018,64.25,-15.21,Hofn,IS,75,87,51.8,8.05
6/13/2018,57.89,52.24,Yukamenskoye,RU,92,98,56.65,10.22
6/13/2018,27.38,87.21,Khandbari,NP,80,67,44.59,1.39
6/13/2018,60.79,-161.76,Bethel,US,1,93,44.6,8.05
6/13/2018,-54.81,-68.31,Ushuaia,AR,75,64,41,3.36
6/13/2018,-33.02,27.91,East London,ZA,0,37,69.8,5.82
6/13/2018,-23.58,149.07,Bluff,AU,76,76,61.96,4.74
6/13/2018,-20.73,139.49,Mount Isa,AU,75,100,64.4,3.29
6/13/2018,69.7,170.27,Pevek,RU,0,71,36.94,6.98
6/13/2018,16.28,-0.04,Gao,ML,24,16,110.02,4.97
6/13/2018,22.89,-109.91,Cabo San Lucas,MX,75,74,84.2,10.29
6/13/2018,14.9,-24.5,Sao Filipe,CV,0,88,75.73,13.02
6/13/2018,71.64,128.87,Tiksi,RU,44,58,57.73,10.11
6/13/2018,-33.64,115.35,Busselton,AU,92,100,60.43,10.56
6/13/2018,-19.06,-169.92,Alofi,NU,76,88,71.6,3.36
6/13/2018,59.58,151.3,Ola,RU,75,100,42.8,7.76
6/13/2018,20.52,-13.05,Atar,MR,20,19,91.4,9.17
6/13/2018,-23.12,-134.97,Rikitea,PF,0,100,73.57,8.66
6/13/2018,-34.42,19.24,Hermanus,ZA,0,24,77.17,8.66
6/13/2018,37.73,-25.67,Ponta Delgada,PT,75,88,71.6,12.75
6/13/2018,5.77,20.68,Bambari,CF,24,84,81.85,7.65
6/13/2018,-19.98,57.61,Cap Malheureux,MU,75,69,75.2,14.99
6/13/2018,15.86,-97.07,Puerto Escondido,MX,75,65,80.6,3.36
6/13/2018,77.48,-69.36,Qaanaaq,GL,32,100,31.45,6.31
6/13/2018,-42.78,147.06,New Norfolk,AU,20,87,44.6,8.05
6/13/2018,17.54,44.22,Najran,SA,40,13,98.6,11.41
6/13/2018,21.23,-86.73,Isla Mujeres,MX,90,100,75.2,16.11
6/13/2018,-46.43,-67.52,Mar Del Plata,AR,0,100,32.53,7.31
6/13/2018,64.42,-173.23,Provideniya,RU,0,91,40.63,10.78
6/13/2018,-33.21,138.6,Jamestown,AU,12,88,43.15,10.89
6/13/2018,50.04,-110.68,Medicine Hat,CA,20,34,66.2,14.99
6/13/2018,33.93,134.5,Katsuura,JP,8,88,62.05,7.54
6/13/2018,68.22,-135.01,Aklavik,CA,20,53,51.8,11.41
6/13/2018,69.44,-133.03,Tuktoyaktuk,CA,20,61,46.4,6.93
6/13/2018,22.08,-159.32,Kapaa,US,90,88,75.2,14.99
6/13/2018,-34.18,142.16,Mildura,AU,0,92,45.67,9.66
6/13/2018,45.6,-0.6,Souillac,FR,75,49,73.4,10.29
6/13/2018,-2.02,147.27,Lorengau,PG,100,100,80.59,3.85
6/13/2018,-20.25,-43.81,Praia,BR,20,47,82.4,3.36
6/13/2018,-33.59,26.89,Port Alfred,ZA,0,50,76.54,7.2
6/13/2018,-10.75,-77.76,Barranca,PE,0,98,61.87,9.89
6/13/2018,30.04,-94.42,Nome,US,40,70,87.8,3.36
6/13/2018,28.42,30.79,Matay,EG,0,23,97.69,6.98
6/13/2018,71.97,114.09,Saskylakh,RU,48,55,59.53,5.86
6/13/2018,-2.92,-39.92,Itarema,BR,0,61,88.33,12.57
6/13/2018,3.07,172.79,Butaritari,KI,56,100,81.13,7.31
6/13/2018,39.36,-9.38,Peniche,PT,20,64,75.2,12.75
6/13/2018,-25.17,45.06,Beloha,MG,0,57,71.95,16.37
6/13/2018,64.73,177.51,Anadyr,RU,0,57,48.2,4.47
6/13/2018,-26.65,15.16,Luderitz,NA,12,64,64.03,17.38
6/13/2018,44.02,-92.46,Rochester,US,1,37,73.4,6.93
6/13/2018,11.28,49.18,Bosaso,SO,0,86,89.77,3.96
6/13/2018,-16.48,-151.75,Faanui,PF,0,100,79.96,11.79
6/13/2018,63.84,-22.43,Grindavik,IS,75,70,48.2,5.82
6/13/2018,-43.03,147.26,Margate,AU,20,87,44.6,8.05
6/13/2018,26.54,-77.06,Marsh Harbour,BS,88,95,82.39,10
6/13/2018,-45.87,-67.48,Comodoro Rivadavia,AR,40,60,42.8,9.17
6/13/2018,72.79,-56.15,Upernavik,GL,92,100,29.29,3.74
6/13/2018,-7.61,15.06,Uige,AO,0,29,86.8,3.18
6/13/2018,-34.53,20.04,Bredasdorp,ZA,0,23,82.4,5.82
6/13/2018,19.28,-81.25,Bodden Town,KY,40,78,80.6,16.11
6/13/2018,27.97,-114.04,Guerrero Negro,MX,44,88,63.85,3.74
6/13/2018,18.69,12.92,Bilma,NE,0,12,110.47,4.63
6/13/2018,-30.97,22.13,Carnarvon,ZA,0,30,60.43,14.25
6/13/2018,-20.63,-46,Ponta Do Sol,BR,12,72,78.25,3.96
6/13/2018,37.72,-25.43,Vila Franca Do Campo,PT,75,88,71.6,12.75
6/13/2018,28.5,-13.86,Puerto Del Rosario,ES,20,60,73.4,17.22
6/13/2018,37.17,-99.65,Sitka,US,20,92,74.02,5.97
6/13/2018,33.08,-16.33,Camacha,PT,75,72,68,16.11
6/13/2018,45.36,-73.48,Saint-Philippe,CA,1,54,78.8,11.41
6/13/2018,11.67,92.75,Port Blair,IN,92,97,84.37,25.1
